Player,Pos,3P,TRB,BLK
Wayne Ellington,SG,2.4,2.1,0.1
Buddy Hield,SG,1.8,3.3,0.1
Avery Bradley,SG,2.0,6.1,0.2
Edy Tavares,C,0.0,5.5,3.0
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Josh Richardson,SG,1.4,3.2,0.7
Channing Frye,C,1.9,3.9,0.5
Andrew Bogut,C,0.0,8.1,0.9
Dwyane Wade,SG,0.8,4.5,0.7
Brook Lopez,C,1.8,5.4,1.7
Dwight Howard,C,0.0,12.7,1.2
Ben McLemore,SG,1.1,2.1,0.1
Justin Holiday,SG,1.2,2.7,0.4
J.R. Smith,SG,2.3,2.8,0.3
Georgios Papagiannis,C,0.0,3.9,0.8
Manu Ginobili,SG,1.3,2.3,0.2
Clint Capela,C,0.0,8.1,1.2
Jamal Murray,SG,1.4,2.6,0.3
Nicolas Batum,SG,1.8,6.2,0.4
Jamal Crawford,SG,1.4,1.6,0.2
Karl-Anthony Towns,C,1.2,12.3,1.3
Justin Hamilton,C,0.9,4.1,0.7
E'Twaun Moore,SG,1.1,2.1,0.4
Bradley Beal,SG,2.9,3.1,0.3
JaVale McGee,C,0.0,3.2,0.9
Alex Len,C,0.0,6.6,1.3
Austin Rivers,SG,1.5,2.2,0.1
Zach LaVine,SG,2.6,3.4,0.2
Anthony Davis,C,0.5,11.8,2.2
DeMarcus Cousins,C,1.8,11.0,1.3
Jordan Clarkson,SG,1.4,3.0,0.1
Willie Cauley-Stein,C,0.0,4.5,0.6
Bismack Biyombo,C,0.0,7.0,1.1
Pau Gasol,C,0.9,7.8,1.1
Gary Harris,SG,1.9,3.1,0.1
Chris Andersen,C,0.0,2.6,0.6
J.J. Redick,SG,2.6,2.2,0.2
Kosta Koufos,C,0.0,5.7,0.7
Sean Kilpatrick,SG,1.5,4.0,0.1
Courtney Lee,SG,1.4,3.4,0.3
Tarik Black,C,0.0,5.1,0.7
Iman Shumpert,SG,1.2,2.9,0.4
Hassan Whiteside,C,0.0,14.1,2.1
Allen Crabbe,SG,1.7,2.9,0.3
Marreese Speights,C,1.3,4.5,0.5
Dion Waiters,SG,1.8,3.3,0.4
Nikola Jokic,C,0.6,9.8,0.8
Richaun Holmes,C,0.5,5.5,1.0
Rudy Gobert,C,0.0,12.8,2.6
Nikola Vucevic,C,0.3,10.4,1.0
Marco Belinelli,SG,1.4,2.4,0.1
Salah Mejri,C,0.0,4.2,0.8
Timofey Mozgov,C,0.0,4.9,0.6
Mason Plumlee,C,0.0,7.5,1.1
Joel Embiid,C,1.2,7.8,2.5
Troy Daniels,SG,2.1,1.5,0.1
Victor Oladipo,SG,1.9,4.3,0.3
Jordan Crawford,SG,1.9,1.8,0.1
Marcin Gortat,C,0.0,10.4,0.7
Tim Hardaway,SG,1.9,2.8,0.2
Devin Booker,SG,1.9,3.2,0.3
Jason Smith,C,0.5,3.5,0.7
John Henson,C,0.0,5.1,1.3
Jonas Valanciunas,C,0.0,9.5,0.8
Marcus Smart,SG,1.2,3.9,0.4
Steven Adams,C,0.0,7.7,1.0
Frank Kaminsky,C,1.5,4.5,0.5
Joe Harris,SG,1.6,2.8,0.2
Andre Drummond,C,0.0,13.8,1.1
Dewayne Dedmon,C,0.0,6.5,0.8
Garrett Temple,SG,1.3,2.8,0.4
Nene Hilario,C,0.0,4.2,0.6
Jodie Meeks,SG,1.6,2.1,0.1
Evan Fournier,SG,1.9,3.1,0.1
Tristan Thompson,C,0.0,9.2,1.1
Wesley Matthews,SG,2.4,3.5,0.2
C.J. McCollum,SG,2.3,3.6,0.5
Denzel Valentine,SG,1.3,2.6,0.1
Tony Snell,SG,1.8,3.1,0.2
Robin Lopez,C,0.0,6.4,1.4
